name,title,description
CHANGENOTICEADDRESS1,Change Notice Full Address 1,Address of owner of the property.
CHANGENOTICEADDRESS2,Change Notice Full Address 2,Address of owner of the property.
CHANGENOTICEADDRESS3,Change Notice Full Address 3,Address of owner of the property.
CHANGENOTICEADDRESS4,Change Notice Full Address 4,Address of owner of the property.
COUNTYBUILDING,County Assessed Value for Building,The assessed property value of the building for county tax purposes.   This amount reflects the remaining assessment after any preferential assessments (such as clean & green) or county reductions (such as homesteads or other abatements) have been deducted from the base year market values.
COUNTYLAND,County Assessed Value for Land,The assessed property value of the land for county tax purposes.   This amount reflects the remaining assessment after any preferential assessments (such as clean & green) or county reductions (such as homesteads or other abatements) have been deducted from the base year market values.
COUNTYTOTAL,County Assessed Value Total,The assessed property value (land and building together) for county tax purposes.   This amount reflects the remaining assessment after any preferential assessments (such as clean & green) or county reductions (such as homesteads or other abatements) have been deducted from the base year market values.
COUNTYEXEMPTBLDG,County Exempt Building Amount,"The amount of assessment reduction granted on a building by the County (for county taxes only) under incentive programs for new construction, building improvements or local economic revitalization."
LOCALBUILDING,Local  Assessed Value for Building,The assessed property value of the building for local tax purposes (for schools and municipalities).   This amount reflects the remaining assessment after preferential assessments (such as clean & green) have been deducted from the base year market values.   This value is often higher than the county assessed value since county-only incentives (such as homesteads) have not been deducted. 
LOCALLAND,Local Assessed Value for Land,The assessed property value of the land for local tax purposes (for schools and municipalities).   This amount reflects the remaining assessment after preferential assessments (such as clean & green) have been deducted from the base year market values.   This value is often higher than the county assessed value since county-only incentives (such as homesteads) have not been deducted. 
LOCALTOTAL,Local Assessed Value Total,The assessed property value (land and building together) for local tax purposes (for schools and municipalities).   This amount reflects the remaining assessment after preferential assessments (such as clean & green) have been deducted from the base year market values.   This value is often higher than the county assessed value since county-only incentives (such as homesteads) have not been deducted. 
FAIRMARKETBUILDING,Fair Market Building Value,"The base year appraised fair market value of the building.  This value has had no reductions, not even Clean and Green preferential assessment reduction.  Allegheny County currently uses a base year of 2012."
FAIRMARKETLAND,Fair Market Land Value,"The base year appraised fair market value of the land.  This value has had no reductions, not even Clean and Green preferential assessment reduction.  Allegheny County currently uses a base year of 2012."
FAIRMARKETTOTAL,Fair Market Total Value,"The base year appraised fair market value of land and building together.  This value has had no reductions, not even Clean and Green preferential assessment reduction.  Allegheny County currently uses a base year of 2012."
STYLE,Architectural Style,The building style.
STYLEDESC,Architectural Style Description,Description for building style.
STORIES,Number of Stories,Refers to the story height of the main dwelling.  Attics are not included.  A fractional story height (e.g. 1.5) denotes an upper story where part of the living space is less than full height due to a sloped roof or dormers.
YEARBLT,Year Built,The original date of construction.
EXTERIORFINISH,Exterior Wall code,The exterior wall type.
EXTFINISH_DESC,Exterior Wall Description,Description of building material used for exterior walls.
ROOF,Roof,The roofing material type.
ROOFDESC,Roof Description,Description of roofing material.
BASEMENT,Basement,"This code describes the basement under the main part of the dwelling, and categorizes its size in relation to the main dwelling. 
1. NONE  - there is no basement.
2. SLAB/PIERS -indicates slab or pier construction.
3. CRAWL - indicates crawl space to 1/4 basement area.
4. PART - indicates basement is between 1/4 and 3/4 of the main dwelling area.
5. FULL - indicates 3/4 to full basement area."
BASEMENTDESC,Basement Description,"Description of basement type, if one exists."
GRADE,Grade,"Grade refers to quality of construction:

A, X, XX  - have superior materials and workmanship and are typically custom designed or historic homes.
B - construction has above average construction and may exceed code.
C - is the standard, construction meets code, and is typical of current materials and methods.
D - construction is adequate, but below average with minimal features.
E - construction lacks some basics and may be a ""camp"" or seasonal structure.

Pluses and minuses may be used.

"
GRADEDESC,Grade Description,"Grade refers to quality of construction:

A, X, XX  - Very Good and Excellent - have superior materials and workmanship and are typically custom designed or historic homes.
B - Good - construction has above average construction and may exceed code.
C - Average - is the standard, construction meets code, and is typical of current materials and methods.
D - Below Average - construction is adequate, but below average with minimal features.
E - Poor - construction lacks some basics and may be a ""camp"" or seasonal structure.

Pluses and minuses may be used.

"
CONDITION,Condition,"Code for the overall physical condition or state of repair of a structure, relative to its age. Indicated by number and description:

1- Excellent - outstanding maintenance.
7- Very good - high degree of upkeep.
2- Good - above ordinary maintenance.
3- Average - ordinary maintenance, shows normal wear and tear.
4- Fair - sound but with noticeable deferred maintenance.
5- Poor - structural deterioration caused by significant and chronic deferred maintenance.
8- Very poor - barely livable.
6- Unsound - not suitable for habitation."
CONDITIONDESC,Condition Description,"Description for the overall physical condition or state of repair of a structure, relative to its age. Indicated by number and description:

1- Excellent - outstanding maintenance.
7- Very good - high degree of upkeep.
2- Good - above ordinary maintenance.
3- Average - ordinary maintenance, shows normal wear and tear.
4- Fair - sound but with noticeable deferred maintenance.
5- Poor - structural deterioration caused by significant and chronic deferred maintenance.
8- Very poor - barely livable.
6- Unsound - not suitable for habitation."
CDU,CDU,"CDU is a composite rating for structures measuring: 
Condition (physical condition relative to age), 
Desirability (location, style), and 
Utility (functional obsolescence of layout or design).  
Proper neighborhood delineation compensates for most Desirability and Utility issues, leaving Physical Condition the most influential factor in CDU.  CDU will be null for vacant land.
 
Excellent - Perfect condition, very attractive and highly desirable.
Very good - Slight deterioration, but still quite attractive and desirable.
Good - Minor visible deterioration, slightly less attractive and desirable, but still useful.
Average - Normal wear and tear, average utility and desirability.
Fair - Usable but marked deterioration.  Somewhat unattractive and undesirable.
Poor - Obvious deterioration, definitely undesirable.
Very poor - Extremely undesirable and barely usable.
Unsound - Unfit for use."
CDUDESC,CDU Description,"CDU is a composite rating for structures measuring: 
Condition (physical condition relative to age), 
Desirability (location, style), and 
Utility (functional obsolescence of layout or design).  
Proper neighborhood delineation compensates for most Desirability and Utility issues, leaving Physical Condition the most influential factor in CDU.  CDU will be null for vacant land.
 
Excellent - Perfect condition, very attractive and highly desirable.
Very good - Slight deterioration, but still quite attractive and desirable.
Good - Minor visible deterioration, slightly less attractive and desirable, but still useful.
Average - Normal wear and tear, average utility and desirability.
Fair - Usable but marked deterioration.  Somewhat unattractive and undesirable.
Poor - Obvious deterioration, definitely undesirable.
Very poor - Extremely undesirable and barely usable.
Unsound - Unfit for use."
TOTALROOMS,Total Rooms,Total number of rooms in the main dwelling.� This includes Rec-rooms and FBLA (Finished Basement Living Area).� This count is for descriptive purposes only and does not affect assessed value.
BEDROOMS,Bedrooms,"The total number of separate rooms designed to be used as bedrooms.  If a room was designed to be a bedroom, but is being utilized for some other purpose - such as a den, it is to be included in this count.  This is for descriptive purposes only and does not affect value."
FULLBATHS,Full Baths,"A full bath has a toilet, sink and bathing facility (shower or tub)."
HALFBATHS,Half Baths,A half bath has a toilet and sink only.
HEATINGCOOLING,Heating Cooling,Code for the type of Heating / Cooling system.
HEATINGCOOLINGDESC,Heating Cooling Description,Description for the type Heating / Cooling system.
FIREPLACES,Number of Wood burning Fireplaces Stacks,"The number of wood-burning fireplace chimneys/vents.  This need not equal the number of working fireplaces in the dwelling.  This number excludes roof stacks built for bathroom venting, natural gas outlets, etc."
BSMTGARAGE,Integral Basement Garage (Number of Cars),The number of vehicle spaces available in a garage that is basement level and comprises a portion of the main dwelling�s basement.� This does not include detached or attached above-grade garages.
FINISHEDLIVINGAREA,Total Square Feet of Living Area,"Finished living area, as measured from the outside of the structure."
CARDNUMBER,Building (card) Number,For parcels having more than one building only one building is shown. This field contains the number of the building being shown (which is usually the main dwelling).
ALT_ID,Alternate Parcel Identification Number,"In tax year 2007, parcel ID numbers within certain municipalities were converted to conform to  Allegheny County's standard naming convention for parcel ID's.   For affected parcels, this field shows the old parcel ID that was in use for tax years 2006 and prior."
TAXYEAR,The current certified tax year,"The  applicable year for which real estate taxes would apply for the parcel.  Allegheny County currently assesses value based on how the parcel stood as of Jan 1 of that year.   

This need not correspond to a calendar year."
ASOFDATE,The run date of this file,The run date of this file.
